0x8048378	 0x80490f4	0
0x8048383	 0x8048348	1
0x804834e	 0x80490e8	0
0x4000b488	 0x4000b525	0
0x4000b496	 0x4000b521	0
0x4000b4b8	 0x4000b521	0
0x40007bae	 0x40007c05	0
0x40007bb6	 0x40007c05	0
0x40007bc1	 0x40007c05	0
0x40007bcc	 0x40007c05	0
0x40007bd7	 0x40007c05	0
0x40007be4	 0x40007c05	0
0x40007c03	 0x40007be6	0
0x40007c41	 0x40007c56	1
0x40007c6e	 0x40007c43	0
0x40007c74	 0x40007c7f	1
0x40007c86	 0x40007c43	0
0x40007c8f	 0x40007ed1	0
0x40007cc6	 0x40007e09	0
0x40007cda	 0x40007cfd	1
0x40007d0f	 0x40007ce0	0
0x40007d21	 0x40007cec	0
0x40007d38	 0x40007cec	0
0x40007d40	 0x40007d5f	0
0x400115bc	 0x400115c7	1
0x40007d5d	 0x40007cec	1
0x40007cf7	 0x40007dc6	0
0x40007d0f	 0x40007ce0	1
0x40007cea	 0x40007d11	0
0x40007cf7	 0x40007dc6	0
0x40007d0f	 0x40007ce0	1
0x40007cea	 0x40007d11	0
0x40007cf7	 0x40007dc6	1
0x40007dd0	 0x40007e09	1
0x40007e18	 0x40007c43	0
0x40007e26	 0x40007c43	0
0x400115bc	 0x400115c7	1
0x4000c6b9	 0x4000c6f3	0
0x4000c6c0	 0x4000c6e9	0
0x400115bc	 0x400115c7	1
0x4000c6e0	 0x4000c6f3	0
0x4000c6e7	 0x4000c6d0	0
0x40007e35	 0x40007c43	1
0x40007c6e	 0x40007c43	0
0x40007c74	 0x40007c7f	1
0x40007c86	 0x40007c43	0
0x40007c8f	 0x40007ed1	0
0x40007cc6	 0x40007e09	0
0x40007cda	 0x40007cfd	1
0x40007d0f	 0x40007ce0	0
0x40007d21	 0x40007cec	0
0x40007d38	 0x40007cec	0
0x40007d40	 0x40007d5f	0
0x400115bc	 0x400115c7	1
0x40007d5d	 0x40007cec	1
0x40007cf7	 0x40007dc6	0
0x40007d0f	 0x40007ce0	0
0x40007d21	 0x40007cec	0
0x40007d38	 0x40007cec	0
0x40007d40	 0x40007d5f	0
0x400115bc	 0x400115c7	1
0x40007d5d	 0x40007cec	1
0x40007cf7	 0x40007dc6	0
0x40007d0f	 0x40007ce0	0
0x40007d21	 0x40007cec	0
0x40007d38	 0x40007cec	0
0x40007d40	 0x40007d5f	0
0x400115bc	 0x400115c7	1
0x40007d5d	 0x40007cec	1
0x40007cf7	 0x40007dc6	0
0x40007d0f	 0x40007ce0	0
0x40007d21	 0x40007cec	0
0x40007d38	 0x40007cec	0
0x40007d40	 0x40007d5f	0
0x400115bc	 0x400115c7	1
0x40007d5d	 0x40007cec	1
0x40007cf7	 0x40007dc6	0
0x40007d0f	 0x40007ce0	0
0x40007d21	 0x40007cec	0
0x40007d38	 0x40007cec	0
0x40007d40	 0x40007d5f	0
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	0
0x40007d5d	 0x40007cec	0
0x40007d64	 0x40007e64	0
0x40007d6f	 0x40007ddf	0
0x40007d9a	 0x40007eb4	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
0x400115c2	 0x400115b8	1
0x400115bc	 0x400115c7	0
